CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category,Brand,UPC,PPG, Sales 
ABC Corp,North,Mass,SuperMart,North,2017,1,Widgets,A,1234567890,PPG1,"5,83,780.00"
ABC Corp,East,Mass,SuperMart,East,2017,1,Widgets,A,1234567890,PPG1,"6,59,530.00"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,A,1234567890,PPG1,"4,80,659.00"
ABC Corp,South,Mass,SuperMart,Deep South,2017,1,Widgets,A,1234567890,PPG1,"3,32,290.00"
ABC Corp,West,Mass,SuperMart,West,2017,1,Widgets,A,1234567890,PPG1,"6,64,378.00"
ABC Corp,North,Mass,BigCo,North,2017,1,Widgets,A,1234567890,PPG1,"2,00,384.00"
ABC Corp,East,Mass,BigCo,East,2017,1,Widgets,A,1234567890,PPG1,"2,62,398.00"
ABC Corp,South,Mass,BigCo,South,2017,1,Widgets,A,1234567890,PPG1,"9,84,851.00"
ABC Corp,West,Mass,BigCo,West,2017,1,Widgets,A,1234567890,PPG1,"6,79,528.00"
ABC Corp,North,Drug,Rx,North,2017,1,Widgets,A,1234567890,PPG1,"1,36,148.00"
ABC Corp,East,Drug,Rx,East,2017,1,Widgets,A,1234567890,PPG1,"5,84,891.00"
ABC Corp,South,Drug,Rx,South,2017,1,Widgets,A,1234567890,PPG1,"3,43,804.00"
ABC Corp,West,Drug,Rx,West,2017,1,Widgets,A,1234567890,PPG1,"9,90,507.00"
ABC Corp,North,Mass,SuperMart,North,2017,1,Widgets,A,1234512345,PPG1,"1,31,098.00"
ABC Corp,East,Mass,SuperMart,East,2017,1,Widgets,A,1234512345,PPG1,"2,36,441.00"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,A,1234512345,PPG1,"7,96,890.00"
ABC Corp,South,Mass,SuperMart,Deep South,2017,1,Widgets,A,1234512345,PPG1,"1,29,168.90"
ABC Corp,West,Mass,SuperMart,West,2017,1,Widgets,A,1234512345,PPG1,"6,40,542.00"
ABC Corp,North,Mass,BigCo,North,2017,1,Widgets,A,1234512345,PPG1,"98,071.00"
ABC Corp,East,Mass,BigCo,East,2017,1,Widgets,A,1234512345,PPG1,"7,39,421.00"
ABC Corp,South,Mass,BigCo,South,2017,1,Widgets,A,1234512345,PPG1,"7,96,991.00"
ABC Corp,West,Mass,BigCo,West,2017,1,Widgets,A,1234512345,PPG1,"3,50,470.00"
ABC Corp,North,Drug,Rx,North,2017,1,Widgets,A,1234512345,PPG1,"4,82,982.00"
ABC Corp,East,Drug,Rx,East,2017,1,Widgets,A,1234512345,PPG1,"1,24,634.00"
ABC Corp,South,Drug,Rx,South,2017,1,Widgets,A,1234512345,PPG1,"98,576.00"
ABC Corp,West,Drug,Rx,West,2017,1,Widgets,A,1234512345,PPG1,"7,39,017.00"
ABC Corp,North,Mass,SuperMart,North,2017,2,Widgets,A,1234567890,PPG1,"5,62,880.68"
ABC Corp,East,Mass,SuperMart,East,2017,2,Widgets,A,1234567890,PPG1,"6,68,895.33"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,A,1234567890,PPG1,"5,01,231.21"
ABC Corp,South,Mass,SuperMart,Deep South,2017,2,Widgets,A,1234567890,PPG1,"3,37,639.87"
ABC Corp,West,Mass,SuperMart,West,2017,2,Widgets,A,1234567890,PPG1,"6,49,562.37"
ABC Corp,North,Mass,BigCo,North,2017,2,Widgets,A,1234567890,PPG1,"2,03,950.84"
ABC Corp,East,Mass,BigCo,East,2017,2,Widgets,A,1234567890,PPG1,"2,61,925.68"
ABC Corp,South,Mass,BigCo,South,2017,2,Widgets,A,1234567890,PPG1,"9,37,873.61"
ABC Corp,West,Mass,BigCo,West,2017,2,Widgets,A,1234567890,PPG1,"6,70,965.95"
ABC Corp,North,Drug,Rx,North,2017,2,Widgets,A,1234567890,PPG1,"1,30,143.87"
ABC Corp,East,Drug,Rx,East,2017,2,Widgets,A,1234567890,PPG1,"5,71,497.00"
ABC Corp,South,Drug,Rx,South,2017,2,Widgets,A,1234567890,PPG1,"3,40,709.76"
ABC Corp,West,Drug,Rx,West,2017,2,Widgets,A,1234567890,PPG1,"9,42,170.26"
ABC Corp,North,Mass,SuperMart,North,2017,2,Widgets,A,1234512345,PPG1,"1,26,522.68"
ABC Corp,East,Mass,SuperMart,East,2017,2,Widgets,A,1234512345,PPG1,"2,39,869.39"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,A,1234512345,PPG1,"7,93,861.82"
ABC Corp,South,Mass,SuperMart,Deep South,2017,2,Widgets,A,1234512345,PPG1,"1,31,920.20"
ABC Corp,West,Mass,SuperMart,West,2017,2,Widgets,A,1234512345,PPG1,"6,23,375.47"
ABC Corp,North,Mass,BigCo,North,2017,2,Widgets,A,1234512345,PPG1,"1,02,807.83"
ABC Corp,East,Mass,BigCo,East,2017,2,Widgets,A,1234512345,PPG1,"7,70,254.86"
ABC Corp,South,Mass,BigCo,South,2017,2,Widgets,A,1234512345,PPG1,"8,23,769.90"
ABC Corp,West,Mass,BigCo,West,2017,2,Widgets,A,1234512345,PPG1,"3,37,222.23"
ABC Corp,North,Drug,Rx,North,2017,2,Widgets,A,1234512345,PPG1,"4,71,535.33"
ABC Corp,East,Drug,Rx,East,2017,2,Widgets,A,1234512345,PPG1,"1,20,720.49"
ABC Corp,South,Drug,Rx,South,2017,2,Widgets,A,1234512345,PPG1,"95,894.73"
ABC Corp,West,Drug,Rx,West,2017,2,Widgets,A,1234512345,PPG1,"7,60,300.69"
ABC Corp,North,Mass,SuperMart,North,2017,3,Widgets,A,1234567890,PPG1,"5,48,133.20"
ABC Corp,East,Mass,SuperMart,East,2017,3,Widgets,A,1234567890,PPG1,"6,98,126.05"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,A,1234567890,PPG1,"5,16,819.50"
ABC Corp,South,Mass,SuperMart,Deep South,2017,3,Widgets,A,1234567890,PPG1,"3,48,005.41"
ABC Corp,West,Mass,SuperMart,West,2017,3,Widgets,A,1234567890,PPG1,"6,45,405.17"
ABC Corp,North,Mass,BigCo,North,2017,3,Widgets,A,1234567890,PPG1,"2,13,862.85"
ABC Corp,East,Mass,BigCo,East,2017,3,Widgets,A,1234567890,PPG1,"2,69,626.30"
ABC Corp,South,Mass,BigCo,South,2017,3,Widgets,A,1234567890,PPG1,"9,79,608.98"
ABC Corp,West,Mass,BigCo,West,2017,3,Widgets,A,1234567890,PPG1,"6,69,892.40"
ABC Corp,North,Drug,Rx,North,2017,3,Widgets,A,1234567890,PPG1,"1,29,402.05"
ABC Corp,East,Drug,Rx,East,2017,3,Widgets,A,1234567890,PPG1,"5,62,695.94"
ABC Corp,South,Drug,Rx,South,2017,3,Widgets,A,1234567890,PPG1,"3,46,161.12"
ABC Corp,West,Drug,Rx,West,2017,3,Widgets,A,1234567890,PPG1,"8,96,569.22"
ABC Corp,North,Mass,SuperMart,North,2017,3,Widgets,A,1234512345,PPG1,"1,21,866.65"
ABC Corp,East,Mass,SuperMart,East,2017,3,Widgets,A,1234512345,PPG1,"2,34,976.06"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,A,1234512345,PPG1,"7,65,362.18"
ABC Corp,South,Mass,SuperMart,Deep South,2017,3,Widgets,A,1234512345,PPG1,"1,28,397.93"
ABC Corp,West,Mass,SuperMart,West,2017,3,Widgets,A,1234512345,PPG1,"6,16,393.67"
ABC Corp,North,Mass,BigCo,North,2017,3,Widgets,A,1234512345,PPG1,"1,01,409.64"
ABC Corp,East,Mass,BigCo,East,2017,3,Widgets,A,1234512345,PPG1,"7,76,879.05"
ABC Corp,South,Mass,BigCo,South,2017,3,Widgets,A,1234512345,PPG1,"8,28,630.14"
ABC Corp,West,Mass,BigCo,West,2017,3,Widgets,A,1234512345,PPG1,"3,40,796.79"
ABC Corp,North,Drug,Rx,North,2017,3,Widgets,A,1234512345,PPG1,"4,50,599.16"
ABC Corp,East,Drug,Rx,East,2017,3,Widgets,A,1234512345,PPG1,"1,17,617.98"
ABC Corp,South,Drug,Rx,South,2017,3,Widgets,A,1234512345,PPG1,"1,00,334.66"
ABC Corp,West,Drug,Rx,West,2017,3,Widgets,A,1234512345,PPG1,"7,56,119.04"
ABC Corp,North,Mass,SuperMart,North,2017,4,Widgets,A,1234567890,PPG1,"5,49,832.42"
ABC Corp,East,Mass,SuperMart,East,2017,4,Widgets,A,1234567890,PPG1,"7,31,356.85"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,A,1234567890,PPG1,"5,16,716.13"
ABC Corp,South,Mass,SuperMart,Deep South,2017,4,Widgets,A,1234567890,PPG1,"3,42,680.93"
ABC Corp,West,Mass,SuperMart,West,2017,4,Widgets,A,1234567890,PPG1,"6,37,466.69"
ABC Corp,North,Mass,BigCo,North,2017,4,Widgets,A,1234567890,PPG1,"2,03,533.27"
ABC Corp,East,Mass,BigCo,East,2017,4,Widgets,A,1234567890,PPG1,"2,68,359.06"
ABC Corp,South,Mass,BigCo,South,2017,4,Widgets,A,1234567890,PPG1,"9,39,445.01"
ABC Corp,West,Mass,BigCo,West,2017,4,Widgets,A,1234567890,PPG1,"7,02,851.11"
ABC Corp,North,Drug,Rx,North,2017,4,Widgets,A,1234567890,PPG1,"1,23,863.65"
ABC Corp,East,Drug,Rx,East,2017,4,Widgets,A,1234567890,PPG1,"5,42,495.16"
ABC Corp,South,Drug,Rx,South,2017,4,Widgets,A,1234567890,PPG1,"3,57,376.74"
ABC Corp,West,Drug,Rx,West,2017,4,Widgets,A,1234567890,PPG1,"9,14,231.63"
ABC Corp,North,Mass,SuperMart,North,2017,4,Widgets,A,1234512345,PPG1,"1,25,303.28"
ABC Corp,East,Mass,SuperMart,East,2017,4,Widgets,A,1234512345,PPG1,"2,33,354.72"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,A,1234512345,PPG1,"7,63,448.77"
ABC Corp,South,Mass,SuperMart,Deep South,2017,4,Widgets,A,1234512345,PPG1,"1,28,641.88"
ABC Corp,West,Mass,SuperMart,West,2017,4,Widgets,A,1234512345,PPG1,"5,99,196.29"
ABC Corp,North,Mass,BigCo,North,2017,4,Widgets,A,1234512345,PPG1,"1,03,721.78"
ABC Corp,East,Mass,BigCo,East,2017,4,Widgets,A,1234512345,PPG1,"8,06,322.76"
ABC Corp,South,Mass,BigCo,South,2017,4,Widgets,A,1234512345,PPG1,"8,24,652.72"
