CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category, Sales 
XYZ Manufacturing,North,Mass,SuperMart,North,2017,1,Widgets,"10,00,000.00"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,1,Widgets,"30,00,000.00"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,"7,50,000.00"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,1,Widgets,"6,00,000.00"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,1,Widgets,"42,50,000.00"
AAA Industries,East,Mass,SuperMart,East,2017,1,Widgets,"15,00,000.00"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,"27,00,000.00"
AAA Industries,South,Mass,SuperMart,Deep South,2017,1,Widgets,"8,70,000.00"
AAA Industries,West,Mass,SuperMart,West,2017,1,Widgets,"29,00,000.00"
XYZ Manufacturing,North,Mass,BigCo,North,2017,1,Widgets,"25,00,000.00"
XYZ Manufacturing,East,Mass,BigCo,East,2017,1,Widgets,"12,50,000.00"
XYZ Manufacturing,South,Mass,BigCo,South,2017,1,Widgets,"13,50,000.00"
XYZ Manufacturing,West,Mass,BigCo,West,2017,1,Widgets,"43,90,000.00"
AAA Industries,North,Mass,BigCo,North,2017,1,Widgets,"56,50,000.00"
AAA Industries,East,Mass,BigCo,East,2017,1,Widgets,"8,00,000.00"
AAA Industries,South,Mass,BigCo,South,2017,1,Widgets,"15,00,000.00"
AAA Industries,West,Mass,BigCo,West,2017,1,Widgets,"35,80,000.00"
XYZ Manufacturing,North,Drug,Rx,North,2017,1,Widgets,"7,60,000.00"
XYZ Manufacturing,East,Drug,Rx,East,2017,1,Widgets,"8,42,000.00"
XYZ Manufacturing,South,Drug,Rx,South,2017,1,Widgets,"9,51,000.00"
XYZ Manufacturing,West,Drug,Rx,West,2017,1,Widgets,"1,70,000.00"
AAA Industries,North,Drug,Rx,North,2017,1,Widgets,"3,98,000.00"
AAA Industries,East,Drug,Rx,East,2017,1,Widgets,"6,50,000.00"
AAA Industries,South,Drug,Rx,South,2017,1,Widgets,"7,81,000.00"
AAA Industries,West,Drug,Rx,West,2017,1,Widgets,"8,62,000.00"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,2,Widgets,"9,99,200.00"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,2,Widgets,"29,70,600.00"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,"7,56,975.00"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,2,Widgets,"6,15,780.00"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,2,Widgets,"44,47,625.00"
AAA Industries,East,Mass,SuperMart,East,2017,2,Widgets,"14,39,550.00"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,"27,79,920.00"
AAA Industries,South,Mass,SuperMart,Deep South,2017,2,Widgets,"8,49,207.00"
AAA Industries,West,Mass,SuperMart,West,2017,2,Widgets,"27,95,890.00"
XYZ Manufacturing,North,Mass,BigCo,North,2017,2,Widgets,"24,58,250.00"
XYZ Manufacturing,East,Mass,BigCo,East,2017,2,Widgets,"12,74,000.00"
XYZ Manufacturing,South,Mass,BigCo,South,2017,2,Widgets,"13,79,025.00"
XYZ Manufacturing,West,Mass,BigCo,West,2017,2,Widgets,"44,82,190.00"
AAA Industries,North,Mass,BigCo,North,2017,2,Widgets,"55,51,690.00"
AAA Industries,East,Mass,BigCo,East,2017,2,Widgets,"8,20,400.00"
AAA Industries,South,Mass,BigCo,South,2017,2,Widgets,"14,80,350.00"
AAA Industries,West,Mass,BigCo,West,2017,2,Widgets,"37,21,052.00"
XYZ Manufacturing,North,Drug,Rx,North,2017,2,Widgets,"7,56,808.00"
XYZ Manufacturing,East,Drug,Rx,East,2017,2,Widgets,"8,70,543.80"
XYZ Manufacturing,South,Drug,Rx,South,2017,2,Widgets,"9,13,530.60"
XYZ Manufacturing,West,Drug,Rx,West,2017,2,Widgets,"1,72,278.00"
AAA Industries,North,Drug,Rx,North,2017,2,Widgets,"4,07,392.80"
AAA Industries,East,Drug,Rx,East,2017,2,Widgets,"6,18,800.00"
AAA Industries,South,Drug,Rx,South,2017,2,Widgets,"7,69,831.70"
AAA Industries,West,Drug,Rx,West,2017,2,Widgets,"8,32,347.20"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,3,Widgets,"9,63,828.32"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,3,Widgets,"28,44,646.56"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,"7,20,261.71"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,3,Widgets,"5,94,412.43"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,3,Widgets,"46,04,626.16"
AAA Industries,East,Mass,SuperMart,East,2017,3,Widgets,"13,94,348.13"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,3,Widgets,"28,49,973.98"
AAA Industries,South,Mass,SuperMart,Deep South,2017,3,Widgets,"8,19,569.68"
AAA Industries,West,Mass,SuperMart,West,2017,3,Widgets,"27,10,615.36"
XYZ Manufacturing,North,Mass,BigCo,North,2017,3,Widgets,"25,32,734.98"
XYZ Manufacturing,East,Mass,BigCo,East,2017,3,Widgets,"13,34,005.40"
XYZ Manufacturing,South,Mass,BigCo,South,2017,3,Widgets,"13,32,000.25"
XYZ Manufacturing,West,Mass,BigCo,West,2017,3,Widgets,"44,04,648.11"
AAA Industries,North,Mass,BigCo,North,2017,3,Widgets,"54,62,307.79"
AAA Industries,East,Mass,BigCo,East,2017,3,Widgets,"8,44,191.60"
AAA Industries,South,Mass,BigCo,South,2017,3,Widgets,"14,15,658.71"
AAA Industries,West,Mass,BigCo,West,2017,3,Widgets,"36,94,260.43"
XYZ Manufacturing,North,Drug,Rx,North,2017,3,Widgets,"7,68,992.61"
XYZ Manufacturing,East,Drug,Rx,East,2017,3,Widgets,"8,27,103.66"
XYZ Manufacturing,South,Drug,Rx,South,2017,3,Widgets,"8,72,421.72"
XYZ Manufacturing,West,Drug,Rx,West,2017,3,Widgets,"1,75,947.52"
AAA Industries,North,Drug,Rx,North,2017,3,Widgets,"3,99,244.94"
AAA Industries,East,Drug,Rx,East,2017,3,Widgets,"6,36,188.28"
AAA Industries,South,Drug,Rx,South,2017,3,Widgets,"7,89,154.48"
AAA Industries,West,Drug,Rx,West,2017,3,Widgets,"8,07,376.78"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,4,Widgets,"9,72,406.39"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,4,Widgets,"29,60,708.14"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,"7,53,969.96"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,4,Widgets,"5,98,692.20"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,4,Widgets,"45,56,738.05"
AAA Industries,East,Mass,SuperMart,East,2017,4,Widgets,"13,87,236.95"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,4,Widgets,"29,33,763.22"
AAA Industries,South,Mass,SuperMart,Deep South,2017,4,Widgets,"8,29,076.68"
AAA Industries,West,Mass,SuperMart,West,2017,4,Widgets,"28,18,497.85"
XYZ Manufacturing,North,Mass,BigCo,North,2017,4,Widgets,"25,78,324.20"
XYZ Manufacturing,East,Mass,BigCo,East,2017,4,Widgets,"14,00,038.67"
XYZ Manufacturing,South,Mass,BigCo,South,2017,4,Widgets,"13,32,000.25"
XYZ Manufacturing,West,Mass,BigCo,West,2017,4,Widgets,"43,54,875.59"
AAA Industries,North,Mass,BigCo,North,2017,4,Widgets,"55,74,285.10"
AAA Industries,East,Mass,BigCo,East,2017,4,Widgets,"8,04,008.08"
AAA Industries,South,Mass,BigCo,South,2017,4,Widgets,"13,84,089.52"
AAA Industries,West,Mass,BigCo,West,2017,4,Widgets,"36,18,528.09"
XYZ Manufacturing,North,Drug,Rx,North,2017,4,Widgets,"7,93,446.57"
XYZ Manufacturing,East,Drug,Rx,East,2017,4,Widgets,"8,65,067.72"
XYZ Manufacturing,South,Drug,Rx,South,2017,4,Widgets,"8,69,106.52"
XYZ Manufacturing,West,Drug,Rx,West,2017,4,Widgets,"1,76,686.50"
AAA Industries,North,Drug,Rx,North,2017,4,Widgets,"4,13,178.59"
AAA Industries,East,Drug,Rx,East,2017,4,Widgets,"6,39,814.55"
AAA Industries,South,Drug,Rx,South,2017,4,Widgets,"7,75,975.60"
AAA Industries,West,Drug,Rx,West,2017,4,Widgets,"7,68,299.75"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,5,Widgets,"9,95,646.90"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,5,Widgets,"29,99,789.49"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,"7,19,815.12"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,5,Widgets,"6,00,248.80"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,5,Widgets,"45,61,750.46"
AAA Industries,East,Mass,SuperMart,East,2017,5,Widgets,"14,10,403.81"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,5,Widgets,"28,22,280.22"
AAA Industries,South,Mass,SuperMart,Deep South,2017,5,Widgets,"8,16,474.72"
AAA Industries,West,Mass,SuperMart,West,2017,5,Widgets,"27,10,831.23"
XYZ Manufacturing,North,Mass,BigCo,North,2017,5,Widgets,"25,11,029.94"
XYZ Manufacturing,East,Mass,BigCo,East,2017,5,Widgets,"14,00,878.69"
XYZ Manufacturing,South,Mass,BigCo,South,2017,5,Widgets,"13,40,924.65"
XYZ Manufacturing,West,Mass,BigCo,West,2017,5,Widgets,"44,45,021.51"
AAA Industries,North,Mass,BigCo,North,2017,5,Widgets,"53,07,276.84"
AAA Industries,East,Mass,BigCo,East,2017,5,Widgets,"8,39,545.24"
AAA Industries,South,Mass,BigCo,South,2017,5,Widgets,"13,82,290.20"
AAA Industries,West,Mass,BigCo,West,2017,5,Widgets,"35,99,711.74"
XYZ Manufacturing,North,Drug,Rx,North,2017,5,Widgets,"8,07,569.92"
