CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category, Sales 
XYZ Manufacturing,North,Mass,SuperMart,North,2017,1,Widgets,"10,22,500.00"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,1,Widgets,"28,66,200.00"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,"7,42,950.00"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,1,Widgets,"6,24,180.00"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,1,Widgets,"44,54,850.00"
AAA Industries,East,Mass,SuperMart,East,2017,1,Widgets,"15,45,450.00"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,"26,82,720.00"
AAA Industries,South,Mass,SuperMart,Deep South,2017,1,Widgets,"8,62,866.00"
AAA Industries,West,Mass,SuperMart,West,2017,1,Widgets,"28,96,520.00"
XYZ Manufacturing,North,Mass,BigCo,North,2017,1,Widgets,"25,99,000.00"
XYZ Manufacturing,East,Mass,BigCo,East,2017,1,Widgets,"12,53,000.00"
XYZ Manufacturing,South,Mass,BigCo,South,2017,1,Widgets,"14,06,295.00"
XYZ Manufacturing,West,Mass,BigCo,West,2017,1,Widgets,"45,39,260.00"
AAA Industries,North,Mass,BigCo,North,2017,1,Widgets,"53,67,500.00"
AAA Industries,East,Mass,BigCo,East,2017,1,Widgets,"8,32,960.00"
AAA Industries,South,Mass,BigCo,South,2017,1,Widgets,"15,37,650.00"
AAA Industries,West,Mass,BigCo,West,2017,1,Widgets,"35,15,560.00"
XYZ Manufacturing,North,Drug,Rx,North,2017,1,Widgets,"7,68,892.00"
XYZ Manufacturing,East,Drug,Rx,East,2017,1,Widgets,"8,74,332.80"
XYZ Manufacturing,South,Drug,Rx,South,2017,1,Widgets,"9,19,712.10"
XYZ Manufacturing,West,Drug,Rx,West,2017,1,Widgets,"1,71,989.00"
AAA Industries,North,Drug,Rx,North,2017,1,Widgets,"4,09,621.60"
AAA Industries,East,Drug,Rx,East,2017,1,Widgets,"6,78,535.00"
AAA Industries,South,Drug,Rx,South,2017,1,Widgets,"7,99,275.40"
AAA Industries,West,Drug,Rx,West,2017,1,Widgets,"8,36,657.20"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,2,Widgets,"10,05,195.20"
XYZ Manufacturing,East,Mass,SuperMart,East,2017,2,Widgets,"30,45,756.18"
XYZ Manufacturing,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,"7,81,273.90"
XYZ Manufacturing,South,Mass,SuperMart,Deep South,2017,2,Widgets,"5,85,114.16"
XYZ Manufacturing,West,Mass,SuperMart,West,2017,2,Widgets,"42,27,912.33"
AAA Industries,East,Mass,SuperMart,East,2017,2,Widgets,"13,80,096.59"
AAA Industries,South,Mass,SuperMart,Gulf Coast,2017,2,Widgets,"29,00,290.54"
AAA Industries,South,Mass,SuperMart,Deep South,2017,2,Widgets,"8,60,246.69"
AAA Industries,West,Mass,SuperMart,West,2017,2,Widgets,"28,24,128.49"
XYZ Manufacturing,North,Mass,BigCo,North,2017,2,Widgets,"25,53,630.10"
XYZ Manufacturing,East,Mass,BigCo,East,2017,2,Widgets,"12,96,804.60"
XYZ Manufacturing,South,Mass,BigCo,South,2017,2,Widgets,"14,32,669.07"
XYZ Manufacturing,West,Mass,BigCo,West,2017,2,Widgets,"45,31,045.87"
AAA Industries,North,Mass,BigCo,North,2017,2,Widgets,"56,74,382.35"
AAA Industries,East,Mass,BigCo,East,2017,2,Widgets,"8,59,040.84"
AAA Industries,South,Mass,BigCo,South,2017,2,Widgets,"14,46,301.95"
AAA Industries,West,Mass,BigCo,West,2017,2,Widgets,"35,83,000.97"
XYZ Manufacturing,North,Drug,Rx,North,2017,2,Widgets,"7,75,879.56"
XYZ Manufacturing,East,Drug,Rx,East,2017,2,Widgets,"9,03,624.46"
XYZ Manufacturing,South,Drug,Rx,South,2017,2,Widgets,"8,82,105.15"
XYZ Manufacturing,West,Drug,Rx,West,2017,2,Widgets,"1,65,094.01"
AAA Industries,North,Drug,Rx,North,2017,2,Widgets,"4,11,751.90"
AAA Industries,East,Drug,Rx,East,2017,2,Widgets,"6,35,136.32"
AAA Industries,South,Drug,Rx,South,2017,2,Widgets,"7,75,374.49"
AAA Industries,West,Drug,Rx,West,2017,2,Widgets,"8,17,198.48"
XYZ Manufacturing,North,Mass,SuperMart,North,2017,3,Widgets,"9,61,033.22"
