CPG,CPG Region,Channel,Retailer,Retailer Region,Year,Week,Category,Brand,UPC,PPG, Sales 
ABC Corp,North,Mass,SuperMart,North,2017,1,Widgets,A,1234567890,PPG1,"5,78,000.00"
ABC Corp,East,Mass,SuperMart,East,2017,1,Widgets,A,1234567890,PPG1,"6,53,000.00"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,A,1234567890,PPG1,"4,75,900.00"
ABC Corp,South,Mass,SuperMart,Deep South,2017,1,Widgets,A,1234567890,PPG1,"3,29,000.00"
ABC Corp,West,Mass,SuperMart,West,2017,1,Widgets,A,1234567890,PPG1,"6,57,800.00"
ABC Corp,North,Mass,BigCo,North,2017,1,Widgets,A,1234567890,PPG1,"1,98,400.00"
ABC Corp,East,Mass,BigCo,East,2017,1,Widgets,A,1234567890,PPG1,"2,59,800.00"
ABC Corp,South,Mass,BigCo,South,2017,1,Widgets,A,1234567890,PPG1,"9,75,100.00"
ABC Corp,West,Mass,BigCo,West,2017,1,Widgets,A,1234567890,PPG1,"6,72,800.00"
ABC Corp,North,Drug,Rx,North,2017,1,Widgets,A,1234567890,PPG1,"1,34,800.00"
ABC Corp,East,Drug,Rx,East,2017,1,Widgets,A,1234567890,PPG1,"5,79,100.00"
ABC Corp,South,Drug,Rx,South,2017,1,Widgets,A,1234567890,PPG1,"3,40,400.00"
ABC Corp,West,Drug,Rx,West,2017,1,Widgets,A,1234567890,PPG1,"9,80,700.00"
ABC Corp,North,Mass,SuperMart,North,2017,1,Widgets,A,1234512345,PPG1,"1,29,800.00"
ABC Corp,East,Mass,SuperMart,East,2017,1,Widgets,A,1234512345,PPG1,"2,34,100.00"
ABC Corp,South,Mass,SuperMart,Gulf Coast,2017,1,Widgets,A,1234512345,PPG1,"7,89,000.00"
ABC Corp,South,Mass,SuperMart,Deep South,2017,1,Widgets,A,1234512345,PPG1,"1,27,890.00"
ABC Corp,West,Mass,SuperMart,West,2017,1,Widgets,A,1234512345,PPG1,"6,34,200.00"
ABC Corp,North,Mass,BigCo,North,2017,1,Widgets,A,1234512345,PPG1,"97,100.00"
ABC Corp,East,Mass,BigCo,East,2017,1,Widgets,A,1234512345,PPG1,"7,32,100.00"
ABC Corp,South,Mass,BigCo,South,2017,1,Widgets,A,1234512345,PPG1,"7,89,100.00"
ABC Corp,West,Mass,BigCo,West,2017,1,Widgets,A,1234512345,PPG1,"3,47,000.00"
